연번,업종명,업소명,소     재     지,전화번호
285,일반음식점,국수나무(오송점), 청주시 흥덕구 오송읍 오송생명로 186  1층 106호 (오송프라자),
286,일반음식점,엄마밥상, 청주시 흥덕구 진재로109번길 51  1층 (복대동),
287,일반음식점,대운설렁탕 닭개장, 청주시 흥덕구 예체로179번길 13  1층 (봉명동),
288,일반음식점,돼지촌, 청주시 흥덕구 가로수로1164번길 26-9  1층 (강서동),
289,일반음식점,신나고왕만두, 청주시 흥덕구 풍년로 16-25  1층 102호 (가경동  디오스프라자),
290,일반음식점,연스시, 청주시 흥덕구 덕암로108번길 61  1층 101호 (봉명동),
291,일반음식점,할로나(Halona), 청주시 흥덕구 과상미로10번길 3  1층 (봉명동),
292,일반음식점,풍경소리, 청주시 흥덕구 풍년로180번길 22  1층 (가경동),
293,일반음식점,아노참치앤스시, 청주시 흥덕구 백봉로267번길 6-2  1층 (봉명동),
294,일반음식점,누나홀닭, 청주시 흥덕구 백봉로197번길 6  1층 (봉명동),
295,일반음식점,안동장터소고기국밥, 청주시 흥덕구 진재로109번길 26  1층 (복대동),
